v1,v2,,,
Interested,Wish i were with you now!,,,
Not Interested,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,,,
More information,Yes i will be there. Glad you made it.,,,
Not Interested,Do well :)all will for little time. Thing of good times ahead:,,,
Interested,Just got up. have to be out of the room very soon. ‰Û_. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,,,
Not Interested,Ok. There may be a free gym about.,,,
Interested,Men like shorter ladies. Gaze up into his eyes.,,,
Not Interested,Dunno he jus say go lido. Same time 930.,,,
Interested,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",,,
Interested,U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795,,,
Not Interested,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,,,
More information,By monday next week. Give me the full gist,,,
Not Interested,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",,,
Interested,You have an important customer service announcement from PREMIER.,,,
Not Interested,Dont gimme that lip caveboy,,,
Interested,When did you get to the library,,,
Not Interested,Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,,,
Interested,So why didnt you holla?,,,
Interested,Cant think of anyone with * spare room off * top of my head,,,
Not Interested,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",,,
More information,U should have made an appointment,,,
Not Interested,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts",,,
Interested,"Romantic Paris. 2 nights, 2 flights from å£79 Book now 4 next year. Call 08704439680Ts&Cs apply.",,,
Not Interested,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.",,,
Interested,Urgent Ur å£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 å£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,,,
Not Interested,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,,,
Interested,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",,,
Interested,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,,,
Not Interested,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",,,
More information,"Sorry, I'll call later",,,
Not Interested,I cant pick the phone right now. Pls send a message,,,
Interested,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,,,
Not Interested,Not getting anywhere with this damn job hunting over here!,,,
Interested,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,,,
Not Interested,"idc get over here, you are not weaseling your way out of this shit twice in a row",,,
Interested,I wil be there with in  &lt;#&gt;  minutes. Got any space,,,
Interested,Just sleeping..and surfing,,,
Not Interested,Thanks for picking up the trash.,,,
More information,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,,,
Not Interested,"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\""""",,,
Interested,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,,,
Not Interested,That means get the door,,,
Interested,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,,,
Not Interested,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",,,
Interested,Beerage?,,,
Interested,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,,,
Not Interested,Dont think so. It turns off like randomlly within 5min of opening,,,
More information,"She was supposed to be but couldn't make it, she's still in town though",,,
Not Interested,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,,,
Interested,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),,,
Not Interested,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, å£3 per pole. UnSub 08718727870.",,,
Interested,Gud mrng dear hav a nice day,,,
Not Interested,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,,,
Interested,All e best 4 ur driving tmr :-),,,
Interested,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATåÕS AL!!!!!!!!!,,,
Not Interested,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,,,
More information,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,,,
Not Interested,it's really getting me down just hanging around.,,,
Interested,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",,,
Not Interested,"\Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\""""",,,
Interested,Ok i msg u b4 i leave my house.,,,
Not Interested,"\Gimme a few\"" was  &lt;#&gt;  minutes ago""",,,
Interested,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16",,,
Interested,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,,,
Not Interested,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,,,
More information,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,,,
Not Interested,K I'll be there before 4.,,,
Interested,I dled 3d its very imp,,,
Not Interested,"sure, but make sure he knows we ain't smokin yet",,,
Interested,Boooo you always work. Just quit.,,,
Not Interested,I am taking half day leave bec i am not well,,,
Interested,Ugh I don't wanna get out of bed. It's so warm.,,,
Interested,S:)s.nervous  &lt;#&gt; :),,,
Not Interested,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,,,
More information,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,,,
Not Interested,I borrow ur bag ok.,,,
Interested,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",,,
Not Interested,Where's my boytoy? I miss you ... What happened?,,,
Interested,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",,,
Not Interested,Also are you bringing galileo or dobby,,,
Interested,Then why you not responding,,,
Interested,"\BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & IåÕLLSPEAK 2U SOONLOTS OF LOVEME XXXX.\""""",,,
Not Interested,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,,,
More information,On the road so cant txt,,,
Not Interested,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",,,
Interested,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,,,
Not Interested,Have a good evening! Ttyl,,,
Interested,Hmm .. Bits and pieces lol ... *sighs* ...,,,
Not Interested,Hahaha..use your brain dear,,,
Interested,Hey. You got any mail?,,,
Interested,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around",,,
Not Interested,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,,,
More information,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,,,
Not Interested,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenåÕt sent u 1 in ages started driving so stay off roads!RVx,,,
Interested,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",,,
Not Interested,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago",,,
Interested,Surely result will offer:),,,
Not Interested,Good Morning my Dear........... Have a great &amp; successful day.,,,
Interested,Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,,,
Interested,"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks",,,
Not Interested,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,,,
More information,Last chance 2 claim ur å£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. å£3.00 Sub. 16 . Remove txt X or STOP,,,
Not Interested,I luv u soo much u donåÕt understand how special u r 2 me ring u 2morrow luv u xxx,,,
Interested,"Pls send me a comprehensive mail about who i'm paying, when and how much.",,,
Not Interested,Our Prashanthettan's mother passed away last night. pray for her and family.,,,
Interested,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ",,,
Not Interested,K.k:)when are you going?,,,
Interested,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore,,,
Interested,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.,,,
Not Interested,I am in office:)whats the matter..msg me now.i will call you at break:).,,,
More information,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later",,,
Not Interested,"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X",,,
Interested,U reach orchard already? U wan 2 go buy tickets first?,,,
Not Interested,"I am real, baby! I want to bring out your inner tigress...",,,
Interested,No da if you run that it activate the full version da.,,,
Not Interested,"\AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.\""""",,,
Interested,Stop the story. I've told him i've returned it and he's saying i should not re order it.,,,
Interested,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,,,
Not Interested,Going to take your babe out ?,,,
More information,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.,,,
Not Interested,Spoons it is then okay?,,,
Interested,Did he just say somebody is named tampa,,,
Not Interested,In work now. Going have in few min.,,,
Interested,Your brother is a genius,,,
Not Interested,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you",,,
Interested,Did u find out what time the bus is at coz i need to sort some stuff out.,,,
Interested,Dude ive been seeing a lotta corvettes lately,,,
Not Interested,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net å£1.50pm approx 3mins,,,
More information,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter",,,
Not Interested,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,,,
Interested,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,,,
Not Interested,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,,,
Interested,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",,,
Not Interested,Its going good...no problem..but still need little experience to understand american customer voice...,,,
Interested,I'll text you when I drop x off,,,
Interested,Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap,,,
Not Interested,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;,,,
More information,"Shop till u Drop, IS IT YOU, either 10K, 5K, å£500 Cash or å£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",,,
Not Interested,Are you in castor? You need to see something,,,
Interested,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,,,
Not Interested,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,,,
Interested,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,,,
Not Interested,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,,,
Interested,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",,,
Interested,I love to give massages. I use lots of baby oil... What is your fave position?,,,
Not Interested,Dude we should go sup again,,,
More information,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,,,
Not Interested,Gibbs unsold.mike hussey,,,
Interested,I like to talk pa but am not able to. I dont know y.,,,
Not Interested,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.,,,
Interested,You unbelievable faglord,,,
Not Interested,Wife.how she knew the time of murder exactly,,,
Interested,Why do you ask princess?,,,
Interested,I am great princess! What are you thinking about me? :),,,
Not Interested,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you,,,
More information,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.,,,
Not Interested,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;,,,
Interested,"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)""",,,
Not Interested,Hope you are having a good week. Just checking in,,,
Interested,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.",,,
Not Interested,"Thursday night? Yeah, sure thing, we'll work it out then",,,
Interested,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML", PO Box 5249," MK17 92H. 450Ppw 16""",
Interested,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.,,,
Not Interested,How is it possible to teach you. And where.,,,
More information,"I wonder if your phone battery went dead ? I had to tell you, I love you babe",,,
Not Interested,Lovely smell on this bus and it ain't tobacco... ,,,
Interested,"We're all getting worried over here, derek and taylor have already assumed the worst",,,
Not Interested,Hey what's up charles sorry about the late reply.,,,
Interested,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",,,
Not Interested,I.ll give her once i have it. Plus she said grinule greet you whenever we speak,,,
Interested,WHITE FUDGE OREOS ARE IN STORES,,,
Interested,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",,,
Not Interested,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you,,,
More information,I am sorry it hurt you.,,,
Not Interested,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,,,
Interested,Ok lor but not too early. Me still having project meeting now.,,,
Not Interested,"Call me da, i am waiting for your call.",,,
Interested,I could ask carlos if we could get more if anybody else can chip in,,,
Not Interested,Was actually about to send you a reminder today. Have a wonderful weekend,,,
Interested,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",,,
Interested,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? ,,,
Not Interested,Dont talk to him ever ok its my word.,,,
More information,When u wana see it then,,,
Not Interested,On ma way to school. Can you pls send me ashley's number,,,
Interested,It shall be fine. I have avalarr now. Will hollalater,,,
Not Interested,She went to attend another two rounds today..but still did't reach home..,,,
Interested,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com,,,
Not Interested,"K, wait chikku..il send aftr  &lt;#&gt; mins",,,
Interested,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,,,
Interested,K:)i will give my kvb acc details:),,,
Not Interested,Oh all have to come ah?,,,
More information,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over å£1million to give away ! ppt150x3+normal text rate box403 w1t1jy,,,
Not Interested,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),,,
Interested,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,,,
Not Interested,So do you have samus shoulders yet,,,
Interested,What time you think you'll have it? Need to know when I should be near campus,,,
Not Interested,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or å£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.",,,
Interested,Then dun wear jeans lor...,,,
Interested,"Since when, which side, any fever, any vomitin.",,,
Not Interested,K:)k.are you in college?,,,
More information,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+",,,
Not Interested,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.,,,
Interested,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),,,
Not Interested,Theyre doing it to lots of places. Only hospitals and medical places are safe.,,,
Interested,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS),,,
Not Interested,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,,,
Interested,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones",,,
Interested,I cant wait to see you! How were the photos were useful? :),,,
Not Interested,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,,,
More information,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging ,,,
Not Interested,Chk in ur belovd ms dict,,,
Interested,Is that what time you want me to come?,,,
Not Interested,"Awesome, lemme know whenever you're around",,,
Interested,Shb b ok lor... Thanx...,,,
Not Interested,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOOD NIGHT""",,,
Interested,Also remember to get dobby's bowl from your car,,,
Interested,Filthy stories and GIRLS waiting for your,,,
Not Interested,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,,,
More information,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",,,
Not Interested,Welp apparently he retired,,,
Interested,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!,,,
Not Interested,Where @,,,
Interested,U sure u can't take any sick time?,,,
Not Interested,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,,,
Interested,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",,,
Interested,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..,,,
Not Interested,Are you this much buzy,,,
More information,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.,,,
Not Interested,I am not sure about night menu. . . I know only about noon menu,,,
Interested,What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.,,,
Not Interested,Are you willing to go for aptitude class.,,,
Interested,"It wont b until 2.15 as trying 2 sort house out, is that ok?",,,
Not Interested,"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?",,,
Interested,"Haha awesome, omw back now then",,,
Interested,Yup i thk so until e shop closes lor.,,,
Not Interested,what is your account number?,,,
More information,Eh u send wrongly lar...,,,
Not Interested,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya ,,,
Interested,Ok i shall talk to him,,,
Not Interested,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,,,
Interested,Hey you can pay. With salary de. Only  &lt;#&gt; .,,,
Not Interested,Another month. I need chocolate weed and alcohol.,,,
Interested,If he started searching he will get job in few days.he have great potential and talent.,,,
Interested,Reckon need to be in town by eightish to walk from * carpark.,,,
Not Interested,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",,,
More information,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,,,
Not Interested,Yo guess what I just dropped,,,
Interested,Carlos says he'll be at mu in  &lt;#&gt;  minutes,,,
Not Interested,I'm in office now . I will call you  &lt;#&gt;  min:),,,
Interested,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*",,,
Not Interested,"Yun ah.the ubi one say if Ì_ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.Ì¬n",,,
Interested,Ugh. Gotta drive back to sd from la. My butt is sore.,,,
Interested,26th OF JULY,,,
Not Interested,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,,,
More information,Up to Ì_... ÌÏ wan come then come lor... But i din c any stripes skirt...,,,
Not Interested,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,,,
Interested,"I can't, I don't have her number!",,,
Not Interested,Change again... It's e one next to escalator...,,,
Interested,Yetunde i'm in class can you not run water on it to make it ok. Pls now.,,,
Not Interested,Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? ,,,
Interested,Then Ì_ wait 4 me at bus stop aft ur lect lar. If i dun c Ì_ then i go get my car then come back n pick Ì_.,,,
Interested,"Aight will do, thanks again for comin out",,,
Not Interested,No..but heard abt tat..,,,
More information,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
Not Interested,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,,,
Interested,&lt;#&gt;  am I think? Should say on syllabus,,,
Not Interested,Umma. Did she say anything,,,
Interested,Give me a sec to think think about it,,,
Not Interested,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,,,
Interested,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,,,
Interested,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .",,,
Not Interested,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",,,
More information,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,,,
Not Interested,"I just got home babe, are you still awake ?",,,
Interested,I dunno they close oredi not... ÌÏ v ma fan...,,,
Not Interested,Just buy a pizza. Meat lovers or supreme. U get to pick.,,,
Interested,"Ya, told..she was asking wats matter?",,,
Not Interested,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!",,,
Interested,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,,,
Interested,Shall i send that exe to your mail id.,,,
Not Interested,Nope watching tv at home... Not going out. V bored...,,,
More information,Don know..wait i will check it.,,,
Not Interested,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen",,,
Interested,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,,,
Not Interested,We still on for tonight?,,,
Interested,May i call You later Pls,,,
Not Interested,Hasn't that been the pattern recently crap weekends?,,,
Interested,I have a sore throat. It's scratches when I talk,,,
Interested,Yes da. Any plm at ur office,,,
Not Interested,Are you not around or just still asleep? :V,,,
More information,"Lol you forgot it eh ? Yes, I'll bring it in babe",,,
Not Interested,"Its good, we'll find a way",,,
Interested,Can not use foreign stamps in this country. Good lecture .,,,
Not Interested,Yup bathe liao...,,,
Interested,HAPPY NEW YEAR MY NO.1 MAN,,,
Not Interested,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",,,
Interested,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG,,,
Interested,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",,,
Not Interested,"No my blankets are sufficient, thx",,,
More information,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",,,
Not Interested,"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM",GN,GE,"GNT:-)"""
Interested,They just talking thats it de. They wont any other.,,,
Not Interested,Today am going to college so am not able to atten the class.,,,
Interested,I'm in class. Will holla later,,,
Not Interested,Easy ah?sen got selected means its good..,,,
Interested,Mmm thats better now i got a roast down me! iåÕd b better if i had a few drinks down me 2! Good indian?,,,
Interested,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",,,
Not Interested,"Come round, it's . ",,,
More information,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\""""",,,
Not Interested,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!",,,
Interested,I walked an hour 2 c u! doesnåÕt that show I care y wont u believe im serious?,,,
Not Interested,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,,,
Interested,Are you available for soiree on June 3rd?,,,
Not Interested,Do u noe wat time e place dat sells 4d closes?,,,
Interested,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished",,,
Interested,Jay's getting really impatient and belligerent,,,
Not Interested,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.,,,
More information,I'm at work. Please call,,,
Not Interested,Then u drive lor.,,,
Interested,Ard 515 like dat. Y?,,,
